log10(E/GeV),Zenith[deg],direction
2.66,104.863,up-going
2.7,142.732,up-going
5.26,35.288,down-going
4.88,40.917,down-going
2.66,158.641,up-going
4.61,70.905,down-going
3.05,123.615,up-going
2.82,141.762,up-going
3.09,91.338,up-going
4.37,72.291,down-going
5.19,45.84,down-going
2.98,136.018,up-going
3.03,104.229,up-going
2.92,124.055,up-going
3.39,100.664,up-going
2.99,114.838,up-going
3.31,116.156,up-going
3.09,103.003,up-going
3.24,117.139,up-going
5.08,58.37,down-going
2.83,116.351,up-going
4.7,74.73,down-going
3.11,119.162,up-going
2.78,97.749,up-going
2.77,107.251,up-going
2.77,147.828,up-going
2.84,98.535,up-going
3.04,104.177,up-going
4.91,14.493,down-going
2.79,161.16,up-going
3.0,154.025,up-going
3.32,121.46,up-going
4.52,68.73,down-going
5.49,31.737,down-going
2.84,108.641,up-going
4.28,71.914,down-going
4.69,62.48,down-going
3.21,101.874,up-going
4.37,68.945,down-going
2.73,90.421,up-going
3.31,101.021,up-going
5.1,49.807,down-going
